DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,5:52,,,40.82466,-73.870804,"(40.82466, -73.870804)",,,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Brakes Defective,,,3781026,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
10/31/2017,6:20,,,40.830578,-73.90606,"(40.830578, -73.90606)",3 AVENUE,,,0,0,0,0,0,0,0,0,Passenger Distraction,Unspecified,,,,3780938,PASSENGER VEHICLE,BU,,,
10/31/2017,6:25,,,40.64311,-74.016075,"(40.64311, -74.016075)",56 STREET,,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3780353,PASSENGER VEHICLE,,,,
10/31/2017,6:25,STATEN ISLAND,10305,40.601166,-74.07113,"(40.601166, -74.07113)",CHICAGO AVENUE,COLUMBIA AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3780689,PICK-UP TRUCK,,,,
10/31/2017,6:30,MANHATTAN,10034,40.86381,-73.91735,"(40.86381, -73.91735)",,,401       WEST 207 STREET,0,0,0,0,0,0,0,0,View Obstructed/Limited,Unspecified,,,,3780517,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,6:30,,,40.771477,-73.91824,"(40.771477, -73.91824)",29 STREET,HOYT AVENUE NORTH,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3780367,BU,PASSENGER VEHICLE,,,
10/31/2017,6:30,STATEN ISLAND,10301,40.63574,-74.08374,"(40.63574, -74.08374)",VICTORY BOULEVARD,JERSEY STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780525,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,6:35,,,40.761505,-73.96841,"(40.761505, -73.96841)",EAST 58 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3780502,SPORT UTILITY / STATION WAGON,TK,,,
10/31/2017,6:40,BRONX,10454,40.81169,-73.924965,"(40.81169, -73.924965)",,,305       EAST 140 STREET,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780583,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,6:40,,,,,,,,,0,0,0,0,0,0,0,0,Animals Action,,,,,3781304,PASSENGER VEHICLE,,,,
10/31/2017,6:45,,,40.73447,-73.86316,"(40.73447, -73.86316)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780347,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,6:45,,,40.620438,-74.1672,"(40.620438, -74.1672)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Unspecified,,,3781305,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/2017,6:45,BROOKLYN,11222,40.73018,-73.94238,"(40.73018, -73.94238)",,,400       KINGSLAND AVENUE,0,0,0,0,0,0,0,0,Following Too Closely,Reaction to Other Uninvolved Vehicle,,,,3781854,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,6:50,BRONX,10452,40.841347,-73.9169,"(40.841347, -73.9169)",JEROME AVENUE,EAST 171 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3780622,TAXI,PASSENGER VEHICLE,GG,,
10/31/2017,6:53,,,40.740017,-73.84565,"(40.740017, -73.84565)",,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780357,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,6:55,,,40.89558,-73.86423,"(40.89558, -73.86423)",EAST 233 STREET,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3780675,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,7:00,,,40.5781,-73.84924,"(40.5781, -73.84924)",BEACH 129 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781992,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:00,QUEENS,11385,40.70255,-73.88984,"(40.70255, -73.88984)",65 PLACE,CENTRAL AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3780666,BU,,,,
10/31/2017,7:00,,,40.69024,-73.9482,"(40.69024, -73.9482)",LAFAYETTE AVENUE,,,1,0,0,0,1,0,0,0,Alcohol Involvement,Unspecified,,,,3781204,PASSENGER VEHICLE,BICYCLE,,,
10/31/2017,7:00,,,40.84789,-73.93107,"(40.84789, -73.93107)",AMSTERDAM AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780518,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,7:00,,,40.5781,-73.84924,"(40.5781, -73.84924)",BEACH 129 STREET,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3781992,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:15,QUEENS,11368,40.74884,-73.86374,"(40.74884, -73.86374)",,,40-34     102 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780985,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:15,QUEENS,11368,40.74884,-73.86374,"(40.74884, -73.86374)",,,40-34     102 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780985,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:20,,,40.73447,-73.86316,"(40.73447, -73.86316)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,Unspecified,,,3781180,TAXI,TK,SPORT UTILITY / STATION WAGON,,
10/31/2017,7:27,BROOKLYN,11226,40.65008,-73.96101,"(40.65008, -73.96101)",CHURCH AVENUE,OCEAN AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,,,,3780346,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,7:27,BROOKLYN,11226,40.65008,-73.96101,"(40.65008, -73.96101)",CHURCH AVENUE,OCEAN AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Traffic Control Disregarded,,,,3780346,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,7:29,,,40.79801,-73.827065,"(40.79801, -73.827065)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780881,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:30,BROOKLYN,11204,40.62051,-73.99248,"(40.62051, -73.99248)",65 STREET,17 AVENUE,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Following Too Closely,,,,3780441,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,7:30,,,,,,HAMILTON PLACE,hamilton place,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780882,SPORT UTILITY / STATION WAGON,DP,,,
10/31/2017,7:30,,,40.735607,-73.95804,"(40.735607, -73.95804)",DUPONT STREET,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3781880,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,7:30,BROOKLYN,11234,40.624035,-73.91969,"(40.624035, -73.91969)",AVENUE L,EAST 58 STREET,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,,,,3780860,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,7:30,BRONX,10466,40.884617,-73.83195,"(40.884617, -73.83195)",,,4007      BOSTON ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780676,PASSENGER VEHICLE,,,,
10/31/2017,7:30,,,40.765892,-73.78027,"(40.765892, -73.78027)",36 AVENUE,CLEARVIEW EXPRESSWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780577,BICYCLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:30,QUEENS,11372,40.75169,-73.88562,"(40.75169, -73.88562)",35 AVENUE,81 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3782013,PASSENGER VEHICLE,,,,
10/31/2017,7:30,BROOKLYN,11204,40.62051,-73.99248,"(40.62051, -73.99248)",65 STREET,17 AVENUE,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Following Too Closely,,,,3780441,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,7:30,,,,,,HAMILTON PLACE,hamilton place,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780882,SPORT UTILITY / STATION WAGON,DP,,,
