,Cell,CompType,Count
568,2018,Animal in a Park,1
569,2024,Animal in a Park,1
570,2115,Animal in a Park,11
571,2116,Animal in a Park,5
572,2117,Animal in a Park,1
573,2122,Animal in a Park,1
574,2123,Animal in a Park,1
575,2215,Animal in a Park,1
576,2216,Animal in a Park,3
577,2217,Animal in a Park,1
578,2218,Animal in a Park,4
579,2219,Animal in a Park,1
580,2222,Animal in a Park,1
581,2316,Animal in a Park,1
582,2317,Animal in a Park,1
583,2319,Animal in a Park,1
584,2321,Animal in a Park,1
585,2322,Animal in a Park,2
586,2323,Animal in a Park,1
587,2416,Animal in a Park,1
588,2417,Animal in a Park,4
589,2418,Animal in a Park,2
590,2419,Animal in a Park,1
591,2420,Animal in a Park,1
592,2421,Animal in a Park,1
593,2422,Animal in a Park,1
594,2517,Animal in a Park,5
595,2518,Animal in a Park,2
596,2519,Animal in a Park,1
597,2520,Animal in a Park,5
598,2521,Animal in a Park,1
599,2522,Animal in a Park,1
600,2617,Animal in a Park,2
601,2618,Animal in a Park,4
602,2619,Animal in a Park,1
603,2620,Animal in a Park,1
604,2621,Animal in a Park,4
605,2625,Animal in a Park,1
606,2718,Animal in a Park,3
607,2719,Animal in a Park,1
608,2720,Animal in a Park,6
609,2721,Animal in a Park,1
610,2722,Animal in a Park,1
611,2723,Animal in a Park,1
612,2818,Animal in a Park,2
613,2819,Animal in a Park,2
614,2823,Animal in a Park,1
615,2824,Animal in a Park,1
616,2921,Animal in a Park,1
617,0,APPLIANCE,1
618,205,APPLIANCE,1
619,206,APPLIANCE,1
620,302,APPLIANCE,4
621,303,APPLIANCE,1
622,305,APPLIANCE,1
623,306,APPLIANCE,1
624,406,APPLIANCE,1
625,407,APPLIANCE,5
626,508,APPLIANCE,1
627,509,APPLIANCE,1
628,513,APPLIANCE,4
629,514,APPLIANCE,18
630,515,APPLIANCE,8
631,516,APPLIANCE,14
632,517,APPLIANCE,1
633,523,APPLIANCE,2
634,605,APPLIANCE,2
635,606,APPLIANCE,2
636,615,APPLIANCE,3
637,616,APPLIANCE,23
638,617,APPLIANCE,5
639,624,APPLIANCE,8
640,625,APPLIANCE,1
641,627,APPLIANCE,4
642,704,APPLIANCE,2
643,707,APPLIANCE,1
644,710,APPLIANCE,1
645,713,APPLIANCE,4
646,714,APPLIANCE,6
647,715,APPLIANCE,7
648,716,APPLIANCE,26
649,717,APPLIANCE,8
650,718,APPLIANCE,2
651,725,APPLIANCE,8
652,726,APPLIANCE,3
653,727,APPLIANCE,27
654,728,APPLIANCE,12
655,804,APPLIANCE,1
656,805,APPLIANCE,11
657,806,APPLIANCE,1
658,808,APPLIANCE,1
659,809,APPLIANCE,19
660,810,APPLIANCE,4
661,812,APPLIANCE,17
662,814,APPLIANCE,11
663,815,APPLIANCE,14
664,816,APPLIANCE,21
665,817,APPLIANCE,5
666,818,APPLIANCE,4
667,819,APPLIANCE,7
668,827,APPLIANCE,2
669,905,APPLIANCE,5
670,906,APPLIANCE,3
671,907,APPLIANCE,4
672,908,APPLIANCE,3
673,909,APPLIANCE,11
674,912,APPLIANCE,13
675,913,APPLIANCE,5
676,914,APPLIANCE,13
677,915,APPLIANCE,14
678,916,APPLIANCE,32
679,917,APPLIANCE,27
680,918,APPLIANCE,8
681,919,APPLIANCE,6
682,1004,APPLIANCE,7
683,1006,APPLIANCE,2
684,1007,APPLIANCE,5
685,1008,APPLIANCE,1
686,1009,APPLIANCE,9
687,1012,APPLIANCE,3
688,1013,APPLIANCE,36
689,1014,APPLIANCE,18
690,1015,APPLIANCE,29
691,1016,APPLIANCE,114
692,1017,APPLIANCE,52
693,1018,APPLIANCE,10
694,1019,APPLIANCE,16
695,1020,APPLIANCE,11
696,1113,APPLIANCE,13
697,1114,APPLIANCE,2
698,1115,APPLIANCE,1
699,1116,APPLIANCE,128
700,1117,APPLIANCE,53
701,1118,APPLIANCE,96
702,1119,APPLIANCE,38
703,1120,APPLIANCE,28
704,1121,APPLIANCE,3
705,1123,APPLIANCE,10
706,1126,APPLIANCE,4
707,1127,APPLIANCE,2
708,1128,APPLIANCE,4
709,1129,APPLIANCE,7
710,1214,APPLIANCE,7
711,1215,APPLIANCE,8
712,1216,APPLIANCE,102
713,1217,APPLIANCE,110
714,1218,APPLIANCE,62
715,1219,APPLIANCE,28
716,1220,APPLIANCE,62
