zip_code,residential_units,land_sq_feet,gross_sq_feet,year_built,sale_price,sale_date
11204,2,1438,2460,1935,395000,2003-03-26
11204,2,2000,2560,1910,200000,2005-12-13
11204,2,2204,3640,1920,310000,2010-01-01
11204,2,2093,3600,1930,705000,2005-09-14
11204,3,2568,2880,1910,875000,2006-07-18
11204,1,1673,1038,1920,415000,2004-09-22
11204,2,2500,2128,1930,730500,2005-10-12
11204,4,2500,3026,1924,600000,2004-04-16
11204,1,2400,1554,1930,600000,2011-08-19
11204,1,2300,1648,1925,590000,2010-01-20
11204,1,1983,1376,1930,600000,2009-07-02
11204,1,2003,1404,1925,600000,2008-06-02
11204,2,2000,2200,1930,647500,2011-02-01
11204,2,1983,1456,1940,675000,2006-01-13
11204,2,2250,3132,1925,620000,2008-10-10
11204,2,1833,2492,1930,660000,2006-06-22
11204,2,2525,2360,1930,735000,2007-02-26
11204,1,2000,1312,1920,568000,2010-10-27
11204,2,2300,2440,1915,685000,2010-08-06
11204,1,1747,1058,1935,450000,2006-02-07
11204,4,2700,3520,1931,150000,2012-02-16
11204,1,2300,2300,1915,540000,2007-08-07
11204,2,2300,1656,1925,245000,2004-12-17
11204,1,2003,2040,1930,645000,2007-08-02
11204,3,2504,3780,1925,890000,2012-03-22
11204,1,1700,1432,1910,535000,2005-12-13
